Food_Item,Category,Category_Detail,FDC_ID,Serving_Size,Protein_g_per_100g,Calories_per_100g,Fat_g_per_100g,Carbs_g_per_100g,Fiber_g_per_100g,Sugar_g_per_100g,Vitamin_A_RAE,Vitamin_C_mg,Vitamin_D_µg,Vitamin_B12_µg,Calcium_mg,Iron_mg,Magnesium_mg,Potassium_mg,Zinc_mg,Calories_per_gram_Protein
"Meat loaf, NS as to type of meat",meat,meat,2706579,N/A,17.49,202.0,11.04,7.2,0.4,0,22.0,0.6,0.3,1.66,65.0,2.05,19.0,273.0,3.82,11.55
"Meat spread or potted meat, NFS",meat,meat,2706220,N/A,7.66,235.0,17.34,11.94,0.2,0,26.0,0.0,0.6,1.12,12.0,0.79,8.0,110.0,1.02,30.68
"Meat with gravy, NS as to type of meat,",meat,meat,2706473,N/A,21.56,156.0,7.05,1.58,0.0,0,0.0,0.0,0.1,1.19,8.0,1.79,15.0,188.0,3.64,7.24
Chili with meat,meat,meat,2706377,N/A,13.32,139.0,8.22,2.41,0.5,0,12.0,5.9,0.0,1.26,16.0,1.51,14.0,222.0,3.14,10.44
Biryani with meat,meat,meat,2706490,N/A,8.5,145.0,6.79,12.19,1.0,0,16.0,5.6,0.1,0.47,33.0,1.12,17.0,229.0,1.45,17.06
"Chimichanga, meat",meat,meat,2708587,N/A,12.08,324.0,18.8,25.76,1.8,0,10.0,0.0,0.0,0.72,110.0,2.55,18.0,150.0,2.05,26.82
"Crepe, with meat",meat,meat,2708719,N/A,12.86,173.0,10.06,7.73,0.3,0,82.0,0.8,0.8,0.8,106.0,1.36,17.0,159.0,1.77,13.45
"Dumpling, no meat",meat,meat,2708344,N/A,3.45,125.0,3.37,20.49,0.7,0,14.0,0.0,0.3,0.11,142.0,1.57,10.0,71.0,0.28,36.23
"Empanada, no meat",meat,meat,2708710,N/A,5.75,265.0,13.16,31.5,3.4,0,14.0,3.2,0.0,0.05,46.0,1.63,27.0,197.0,0.67,46.09
"Enchilada, no meat",meat,meat,2708569,N/A,6.37,165.0,8.2,17.34,3.1,0,35.0,0.4,0.0,0.15,121.0,1.01,36.0,204.0,1.02,25.9
"Gordita, meat",meat,meat,2708585,N/A,16.99,296.0,19.36,13.12,1.0,0,20.0,0.0,0.1,1.44,87.0,2.6,26.0,209.0,3.82,17.42
Lasagna with meat,meat,meat,2708750,N/A,7.45,139.0,4.97,16.17,1.6,0,42.0,4.4,0.0,0.83,82.0,0.73,20.0,207.0,0.89,18.66
"Meat, NFS",meat,meat,2705819,N/A,27.13,215.0,11.29,0.0,0.0,0,3.0,0.0,0.3,1.63,15.0,1.91,22.0,352.0,4.43,7.92
"Pupusa, meat",meat,meat,2708610,N/A,11.51,232.0,10.43,23.02,2.6,0,10.0,0.1,0.7,0.28,49.0,1.01,38.0,255.0,1.62,20.16
"Tamale, no meat",meat,meat,2708574,N/A,3.48,186.0,7.21,26.68,3.2,0,2.0,0.2,0.4,0.0,24.0,0.53,29.0,186.0,0.62,53.45
"Ravioli, meat-filled, with tomato sauce or meat sauce",meat,meat,2708764,N/A,8.74,148.0,6.25,14.46,1.0,0,43.0,2.8,0.3,0.61,27.0,2.01,16.0,217.0,1.6,16.93
Chili with meat and beans,meat,meat,2706375,N/A,9.8,118.0,4.33,10.25,3.0,0,12.0,6.3,0.0,0.63,21.0,1.91,25.0,285.0,1.98,12.04
Alfredo sauce with meat,meat,meat,2705811,N/A,6.52,171.0,15.34,1.44,0.0,0,111.0,0.1,0.4,0.56,58.0,0.48,7.0,89.0,1.4,26.23
"Bao bun, no meat",meat,meat,2708725,N/A,6.73,268.0,2.94,54.27,3.4,0,0.0,0.3,0.1,0.0,107.0,2.63,23.0,174.0,0.58,39.82
"Barbecue meat, NFS",meat,meat,2706369,N/A,18.14,226.0,11.17,12.23,0.3,0,6.0,0.2,0.6,0.92,23.0,1.36,19.0,289.0,3.51,12.46
"Beans and rice, with meat",meat,meat,2708992,N/A,7.49,162.0,4.24,23.54,4.4,0,1.0,0.3,0.0,0.13,25.0,1.64,33.0,240.0,1.11,21.63
"Beef, stew meat",meat,meat,2705849,N/A,28.39,251.0,15.35,0.0,0.0,0,5.0,0.0,0.1,3.18,14.0,2.91,20.0,282.0,10.15,8.84
Black beans with meat,meat,meat,2707366,N/A,10.61,177.0,6.81,19.06,7.0,0,1.0,0.0,0.1,0.22,24.0,1.95,59.0,328.0,1.6,16.68
"Burrito, meat, no cheese",meat,meat,2708550,N/A,12.85,262.0,9.75,29.63,2.1,0,1.0,0.0,0.0,0.77,94.0,2.93,19.0,168.0,2.19,20.39
"Calzone, with meat and cheese",meat,meat,2708685,N/A,14.84,343.0,17.69,31.31,1.4,0,113.0,0.0,0.3,0.53,177.0,2.64,22.0,169.0,2.0,23.11
"Chili with meat, canned",meat,meat,2706376,N/A,8.5,106.0,3.38,10.82,3.2,0,11.0,6.0,0.0,0.48,20.0,1.84,25.0,275.0,1.64,12.47
Dressing with meat and vegetables,meat,meat,2708749,N/A,7.94,243.0,14.56,20.36,1.3,0,54.0,1.2,0.6,0.24,94.0,1.95,17.0,158.0,0.93,30.6
Eggplant and meat casserole,meat,meat,2710144,N/A,7.11,96.0,5.53,4.67,1.5,0,31.0,4.5,0.2,0.59,57.0,0.85,15.0,224.0,1.43,13.5
"Gordita, meat, with beans",meat,meat,2708586,N/A,11.41,252.0,15.59,16.64,2.0,0,20.0,0.2,0.0,0.77,90.0,2.32,30.0,212.0,2.34,22.09
Imitation crab meat,meat,meat,2706568,N/A,7.62,95.0,0.46,15.0,0.5,0,0.0,0.0,0.0,0.57,13.0,0.39,43.0,90.0,0.33,12.47
Jambalaya with meat and rice,meat,meat,2706727,N/A,13.76,161.0,7.97,8.65,0.7,0,8.0,7.2,0.2,0.32,24.0,1.11,19.0,240.0,1.07,11.7
Kidney beans with meat,meat,meat,2707386,N/A,10.46,173.0,6.78,18.33,5.9,0,1.0,0.9,0.1,0.22,24.0,2.62,39.0,367.0,1.57,16.54
Lasagna with meat and spinach,meat,meat,2708755,N/A,13.33,207.0,10.79,13.76,1.1,0,98.0,1.3,0.2,0.6,262.0,0.96,26.0,209.0,2.06,15.53
"Lasagna with meat, canned",meat,meat,2708751,N/A,3.24,97.0,3.41,13.26,1.5,0,14.0,0.0,0.0,0.15,12.0,1.09,12.0,178.0,0.39,29.94
"Lasagna with meat, frozen",meat,meat,2708754,N/A,6.63,124.0,4.42,14.39,1.4,0,37.0,4.1,0.0,0.74,73.0,0.65,18.0,184.0,0.79,18.7
"Luncheon meat, NFS",meat,meat,2706205,N/A,16.7,101.0,3.73,0.27,0.0,0,0.0,0.0,0.6,0.36,5.0,0.58,19.0,425.0,1.52,6.05
"Meat, ground, NFS",meat,meat,2705820,N/A,25.62,262.0,17.04,0.0,0.0,0,3.0,0.0,0.0,2.61,24.0,2.4,20.0,304.0,6.02,10.23
Pad Thai with meat,meat,meat,2708808,N/A,8.18,160.0,7.92,14.73,1.2,0,17.0,5.0,0.2,0.34,20.0,0.96,24.0,144.0,1.22,19.56
Pinto beans with meat,meat,meat,2707378,N/A,10.73,186.0,6.9,21.07,7.2,0,1.0,0.6,0.1,0.22,39.0,1.94,43.0,393.0,1.49,17.33
"Pot pie, no meat",meat,meat,2707475,N/A,5.44,242.0,12.15,27.96,3.5,0,120.0,1.8,0.2,0.08,41.0,1.88,19.0,185.0,0.61,44.49
"Pupusa, meat, with beans",meat,meat,2708611,N/A,8.55,230.0,9.72,27.26,4.2,0,10.0,0.1,0.7,0.28,50.0,1.24,46.0,280.0,1.28,26.9
"Quesadilla, egg, with meat",meat,meat,2708598,N/A,11.43,249.0,13.93,19.09,1.3,0,105.0,0.0,1.5,0.53,141.0,2.22,17.0,139.0,1.12,21.78
Refried beans with meat,meat,meat,2707398,N/A,7.81,99.0,2.51,11.76,3.2,0,1.0,4.9,0.1,0.22,27.0,1.5,33.0,319.0,1.21,12.68
"Soup, bean, with meat",meat,meat,2707457,N/A,5.88,84.0,2.35,10.0,3.5,0,42.0,1.1,0.0,0.25,19.0,1.01,29.0,199.0,1.05,14.29
"Soup, lentil, with meat",meat,meat,2707463,N/A,5.94,78.0,2.3,8.76,3.2,0,42.0,1.6,0.0,0.25,17.0,1.43,17.0,204.0,1.1,13.13
"Soup, pho, no meat",meat,meat,2707125,N/A,1.42,37.0,0.93,5.9,0.5,0,22.0,5.5,0.0,0.0,26.0,0.27,7.0,53.0,0.17,26.06
"Soup, pho, with meat",meat,meat,2707124,N/A,5.81,77.0,3.33,5.6,0.4,0,1.0,1.0,0.0,0.51,9.0,0.58,7.0,78.0,1.32,13.25
"Soup, potato with meat",meat,meat,2709557,N/A,3.78,109.0,6.43,8.81,1.0,0,60.0,5.5,0.3,0.09,17.0,0.48,13.0,210.0,0.67,28.84
"Soup, vegetable, with meat",meat,meat,2710116,N/A,3.36,44.0,1.6,4.04,0.8,0,33.0,6.8,0.0,0.14,12.0,0.31,11.0,152.0,0.51,13.1
Spaghetti sauce with meat,meat,meat,2706470,N/A,5.94,90.0,4.36,6.54,1.5,0,27.0,1.6,0.0,0.51,26.0,1.1,18.0,316.0,1.33,15.15
"Stuffed pepper, with meat",meat,meat,2709072,N/A,9.2,198.0,15.87,4.23,0.7,0,46.0,48.2,0.1,0.67,94.0,0.79,14.0,190.0,1.96,21.52
"Taco, meat, no cheese",meat,meat,2708530,N/A,15.15,243.0,13.18,15.94,2.2,0,2.0,0.0,0.0,1.27,40.0,1.69,36.0,220.0,3.57,16.04
Tamale casserole with meat,meat,meat,2708575,N/A,7.38,174.0,9.04,15.8,2.4,0,12.0,16.4,0.3,0.12,75.0,0.87,26.0,152.0,1.2,23.58
"Ravioli, meat-filled, with tomato sauce or meat sauce, canned",meat,meat,2708765,N/A,3.24,97.0,3.41,13.26,1.5,0,14.0,0.0,0.0,0.15,12.0,1.09,12.0,178.0,0.39,29.94
Meat with tomato-based sauce,meat,meat,2706469,N/A,21.72,149.0,6.36,1.58,0.4,0,6.0,2.0,0.1,1.19,9.0,2.05,18.0,264.0,3.69,6.86
Meat loaf made with beef,meat,meat,2706499,N/A,17.48,199.0,10.72,7.2,0.4,0,14.0,0.6,0.2,1.69,64.0,2.05,19.0,273.0,3.82,11.38
Ramen bowl with meat and egg,meat,meat,2709158,N/A,7.13,127.0,4.57,13.95,0.9,0,31.0,2.8,0.3,0.32,18.0,0.98,14.0,96.0,0.72,17.81
"Toddler meal, meat and vegetables",meat,meat,2710134,N/A,3.49,77.0,3.34,8.33,1.0,0,113.0,6.3,0.1,0.15,21.0,0.51,14.0,151.0,0.49,22.06
"Egg omelet or scrambled egg, with meat, made with animal fat or meat drippings",meat,meat,2707217,N/A,12.82,196.0,15.61,0.98,0.0,0,149.0,0.0,2.3,0.78,41.0,1.52,12.0,154.0,1.32,15.29
Baby Toddler vegetables and meat,meat,meat,2710130,N/A,2.95,64.0,1.08,11.18,1.8,0,202.0,5.8,0.0,0.08,34.0,0.95,19.0,188.0,0.58,21.69
Meat loaf made with ham,meat,meat,2706504,N/A,20.65,179.0,7.52,6.16,0.3,0,26.0,3.6,0.9,0.51,27.0,1.26,22.0,322.0,2.12,8.67
Topping from meat pizza,meat,meat,2705789,N/A,19.19,321.0,24.52,5.65,0.7,0,105.0,0.7,0.7,0.89,314.0,0.97,27.0,302.0,2.74,16.73
"Egg white sandwich, with meat",meat,meat,2707336,N/A,12.85,195.0,8.43,17.05,1.2,0,41.0,0.6,0.6,0.5,178.0,1.76,20.0,181.0,1.38,15.18
Multiple meat sandwich on white,meat,meat,2707082,N/A,12.87,190.0,5.62,21.66,1.0,0,0.0,0.0,0.2,0.39,104.0,1.91,22.0,298.0,1.26,14.76
Multiple meat sandwich wrap,meat,meat,2707088,N/A,13.38,226.0,10.13,19.61,1.3,0,35.0,0.0,0.7,0.53,182.0,1.82,21.0,282.0,1.36,16.89
Multiple meat sandwich on wheat,meat,meat,2707084,N/A,13.69,189.0,5.78,20.08,2.2,0,0.0,0.0,0.2,0.39,84.0,1.83,34.0,327.0,1.46,13.81
Baby Toddler fruit and meat,meat,meat,2709362,N/A,2.26,82.0,0.99,16.44,1.8,0,4.0,25.6,0.0,0.07,10.0,0.48,19.0,198.0,0.33,36.28
Baby Toddler meat stick,meat,meat,2705904,N/A,13.7,188.0,14.2,1.4,0.2,0,6.0,1.5,0.4,1.3,83.0,0.92,10.0,120.0,2.4,13.72
"Baby Toddler meat, NFS",meat,meat,2705821,N/A,12.58,112.0,5.99,1.25,0.0,0,3.0,1.9,0.5,0.72,41.0,1.1,12.0,155.0,1.66,8.9
"Beans with meat, NS as to type",meat,meat,2707407,N/A,10.7,184.0,6.88,20.56,7.1,0,1.0,0.5,0.1,0.22,35.0,1.95,47.0,377.0,1.52,17.2
Breakfast meat as ingredient in omelet,meat,meat,2710781,N/A,20.81,252.0,17.87,1.61,0.0,0,14.0,0.0,0.9,0.79,15.0,1.14,21.0,367.0,2.32,12.11
"Burrito, meat, with beans, no cheese",meat,meat,2708552,N/A,10.56,211.0,7.45,24.99,2.6,0,1.0,0.3,0.0,0.54,75.0,2.5,25.0,218.0,1.72,19.98
"Burrito, meat, with rice, no cheese",meat,meat,2708551,N/A,9.84,224.0,6.91,29.59,1.6,0,1.0,0.0,0.0,0.54,69.0,2.43,17.0,129.0,1.69,22.76
"Chicken, canned, meat only",meat,meat,2706086,N/A,25.3,185.0,8.1,0.9,0.0,0,53.0,0.0,0.1,1.0,14.0,1.3,19.0,153.0,2.5,7.31
"Chili with meat, from restaurant",meat,meat,2706374,N/A,12.04,160.0,9.35,6.68,1.9,0,12.0,5.9,0.0,0.98,19.0,1.79,20.0,263.0,2.66,13.29
"Congee, with meat, poultry, and/or seafood",meat,meat,2708981,N/A,4.34,58.0,1.28,7.0,0.1,0,1.0,0.0,0.0,0.24,7.0,0.47,7.0,55.0,0.53,13.36
"Hash, NS as to type of meat",meat,meat,2706584,N/A,8.73,164.0,10.24,9.27,1.1,0,0.0,0.9,0.0,0.41,19.0,1.0,13.0,172.0,1.4,18.79
"Hot dog, meat and poultry",meat,meat,2706168,N/A,9.72,277.0,24.18,5.02,0.0,0,26.0,18.0,0.7,0.6,106.0,1.04,10.0,341.0,1.14,28.5
"Lasagna with meat, from restaurant",meat,meat,2708752,N/A,10.83,185.0,10.69,11.36,1.5,0,81.0,0.7,0.0,0.66,197.0,0.79,22.0,255.0,1.32,17.08
"Lasagna with meat, home recipe",meat,meat,2708753,N/A,13.63,206.0,10.92,13.1,1.1,0,90.0,3.0,0.2,0.62,272.0,0.9,22.0,168.0,2.11,15.11
"Luncheon meat, loaf type",meat,meat,2706214,N/A,11.23,225.0,15.95,8.46,1.5,0,78.0,7.8,0.8,0.54,109.0,1.33,34.0,371.0,1.68,20.04
Macaroni or noodles with cheese and meat,meat,meat,2708818,N/A,11.79,210.0,11.16,15.14,0.7,0,53.0,0.1,0.2,1.06,47.0,1.27,17.0,135.0,2.39,17.81
Macaroni or pasta salad with meat,meat,meat,2708948,N/A,7.65,211.0,10.59,20.82,1.2,0,5.0,1.5,0.2,0.12,8.0,1.0,15.0,90.0,0.74,27.58
"Pastry, meat / poultry-filled",meat,meat,2708728,N/A,11.46,341.0,19.18,30.89,1.1,0,95.0,0.0,0.8,0.43,61.0,2.34,18.0,190.0,1.32,29.76
"Quiche with meat, poultry or fish",meat,meat,2708731,N/A,15.5,387.0,30.63,12.12,0.7,0,208.0,0.4,1.1,0.7,232.0,1.01,20.0,178.0,1.85,24.97
"Ravioli, meat-filled, no sauce",meat,meat,2708763,N/A,12.59,190.0,7.42,17.7,0.6,0,35.0,0.1,0.4,0.93,32.0,2.29,15.0,148.0,2.28,15.09
"Soup, split pea, with meat",meat,meat,2707458,N/A,5.57,80.0,2.42,9.1,3.3,0,42.0,1.3,0.1,0.09,15.0,0.65,17.0,201.0,0.86,14.36
"Stuffed pepper, with rice and meat",meat,meat,2709073,N/A,7.83,178.0,11.66,9.93,0.7,0,46.0,34.6,0.2,0.52,68.0,0.93,14.0,174.0,1.54,22.73
"Stuffed tomato, with rice and meat",meat,meat,2709075,N/A,4.75,99.0,4.54,9.86,1.0,0,26.0,10.9,0.0,0.35,14.0,0.83,14.0,214.0,1.08,20.84
Taco or tostada salad with meat,meat,meat,2708508,N/A,7.45,179.0,9.32,16.49,2.9,0,30.0,3.1,0.0,0.38,84.0,1.82,20.0,222.0,1.26,24.03
"Taco, meat, with beans, no cheese",meat,meat,2708531,N/A,10.07,205.0,9.68,19.98,3.4,0,1.0,0.2,0.0,0.64,43.0,1.5,41.0,238.0,2.19,20.36
"Tortellini, meat-filled, no sauce",meat,meat,2708790,N/A,12.28,190.0,7.51,18.04,0.6,0,70.0,0.0,0.8,0.52,67.0,1.83,15.0,131.0,1.15,15.47
"Egg omelet or scrambled egg, with cheese and meat, made with animal fat or meat drippings",meat,meat,2707225,N/A,13.38,212.0,16.98,1.42,0.0,0,168.0,0.0,2.5,0.85,140.0,1.41,13.0,146.0,1.48,15.84
"Pizza with extra meat, thin crust",meat,meat,2708657,N/A,14.72,277.0,13.36,24.25,1.7,0,52.0,1.0,0.2,0.66,140.0,2.21,23.0,213.0,1.83,18.82
Topping from meat and vegetable pizza,meat,meat,2705790,N/A,17.55,299.0,22.03,7.66,1.0,0,98.0,11.0,0.6,0.8,286.0,0.97,27.0,322.0,2.5,17.04
"Pizza with extra meat, medium crust",meat,meat,2708658,N/A,13.85,274.0,12.4,26.62,1.8,0,56.0,1.1,0.1,0.6,153.0,2.28,24.0,202.0,1.7,19.78
Meat loaf made with beef and pork,meat,meat,2706581,N/A,17.27,196.0,10.5,7.18,0.4,0,22.0,0.7,0.5,1.38,63.0,1.86,19.0,269.0,3.5,11.35
"Pizza with extra meat, thick crust",meat,meat,2708659,N/A,13.33,278.0,13.02,26.64,1.8,0,57.0,1.0,0.1,0.54,146.0,2.28,23.0,199.0,1.64,20.86
"Egg sandwich on white bread, with meat",meat,meat,2707309,N/A,12.1,267.0,15.65,19.44,0.9,0,75.0,0.0,1.2,0.51,100.0,2.12,18.0,170.0,1.32,22.07
"Multiple meat sandwich on white, with cheese",meat,meat,2707083,N/A,13.83,211.0,8.53,19.54,0.8,0,35.0,0.0,0.7,0.53,206.0,1.73,23.0,279.0,1.49,15.26
"Multiple meat sandwich or sub, restaurant",meat,meat,2707086,N/A,13.18,183.0,5.76,19.25,0.8,0,0.0,0.0,0.3,0.42,95.0,1.78,22.0,313.0,1.29,13.88
"Egg sandwich on griddle/pancake, with meat",meat,meat,2707333,N/A,11.69,287.0,19.84,15.62,0.5,0,116.0,0.0,1.7,0.71,174.0,1.15,15.0,171.0,1.43,24.55
"Pizza with meat and fruit, thin crust",meat,meat,2708669,N/A,10.88,227.0,8.34,27.01,1.8,0,52.0,6.9,0.1,0.41,143.0,1.98,22.0,182.0,1.27,20.86
"Egg sandwich on wheat bread, with meat",meat,meat,2707313,N/A,12.86,266.0,15.8,17.99,2.1,0,75.0,0.0,1.2,0.51,81.0,2.04,29.0,197.0,1.5,20.68
"Multiple meat sandwich on wheat, with cheese",meat,meat,2707085,N/A,14.54,210.0,8.67,18.17,2.0,0,35.0,0.0,0.7,0.53,188.0,1.65,34.0,305.0,1.66,14.44
"Pizza with meat and fruit, medium crust",meat,meat,2708670,N/A,10.98,234.0,8.59,28.21,1.9,0,55.0,5.9,0.1,0.41,152.0,2.07,22.0,180.0,1.29,21.31
"Chicken, prepackaged or deli, luncheon meat",meat,meat,2706208,N/A,17.4,98.0,1.86,2.92,0.0,0,2.0,0.0,0.1,0.14,11.0,0.39,26.0,360.0,0.51,5.63
"Ham, prepackaged or deli, luncheon meat",meat,meat,2706206,N/A,16.7,101.0,3.73,0.27,0.0,0,0.0,0.0,0.6,0.36,5.0,0.58,19.0,425.0,1.52,6.05
"Pizza with meat and fruit, thick crust",meat,meat,2708671,N/A,10.58,245.0,9.53,29.14,1.9,0,58.0,4.8,0.0,0.36,152.0,2.16,22.0,176.0,1.24,23.16
"Turkey, prepackaged or deli, luncheon meat",meat,meat,2706215,N/A,14.81,106.0,3.77,2.2,0.0,0,0.0,0.0,0.2,0.37,14.0,0.42,19.0,371.0,0.94,7.16
Alfredo sauce with meat and added vegetables,meat,meat,2705812,N/A,6.47,148.0,12.53,2.15,0.3,0,93.0,8.7,0.3,0.55,48.0,0.55,9.0,140.0,1.42,22.87
"Baby Toddler fruit, vegetables, and meat",meat,meat,2709361,N/A,2.63,75.0,1.06,14.14,1.8,0,103.0,16.0,0.0,0.08,26.0,0.86,19.0,195.0,0.5,28.52
"Bacon, NS as to type of meat, cooked",meat,meat,2705885,N/A,37.41,484.0,35.8,1.9,0.0,0,11.0,0.0,0.4,1.09,12.0,1.12,34.0,528.0,3.31,12.94
"Beef, prepackaged or deli, luncheon meat",meat,meat,2706218,N/A,18.62,115.0,3.69,0.64,0.0,0,3.0,0.0,0.0,2.04,5.0,2.05,20.0,647.0,3.2,6.18
"Burrito, meat, with beans and rice, no cheese",meat,meat,2708553,N/A,10.2,218.0,7.18,27.29,2.1,0,1.0,0.1,0.0,0.54,72.0,2.46,21.0,173.0,1.7,21.37
"Chicken, breast, meat and skin, raw",meat,meat,2727569,N/A,21.4,0.0,4.78,-0.428,0.0,0,0.0,0.0,0.0,0.0,6.9,0.354,25.4,332.0,0.624,0.0
"Chicken, drumstick, meat and skin, raw",meat,meat,2727566,N/A,18.4,0.0,5.94,-0.475,0.0,0,0.0,0.0,0.0,0.0,8.28,0.666,18.6,244.0,1.7,0.0
"Chicken, thigh, meat and skin, raw",meat,meat,2727567,N/A,17.1,0.0,13.4,-0.173,0.0,0,0.0,0.0,0.0,0.0,5.73,0.586,18.5,246.0,1.2,0.0
"Chicken, wing, meat and skin, raw",meat,meat,2727568,N/A,18.4,0.0,10.6,-0.459,0.0,0,0.0,0.0,0.0,0.0,13.6,0.511,16.5,194.0,1.18,0.0
"Chiles rellenos, filled with meat and cheese",meat,meat,2710044,N/A,9.01,230.0,17.15,9.72,0.7,0,67.0,37.4,0.1,0.5,192.0,0.79,16.0,131.0,1.48,25.53
Chow fun noodles with meat and vegetables,meat,meat,2708796,N/A,7.09,102.0,2.74,11.51,0.9,0,6.0,3.1,0.1,0.15,16.0,0.45,11.0,145.0,0.69,14.39
"Congee, with meat, poultry, and/or seafood, and vegetables",meat,meat,2708982,N/A,2.73,48.0,0.7,7.44,0.3,0,2.0,0.6,0.0,0.12,8.0,0.44,6.0,62.0,0.37,17.58
"Ham luncheon meat, loaf type",meat,meat,2706210,N/A,17.99,117.0,4.39,1.57,0.0,0,13.0,0.0,0.7,0.4,9.0,0.82,19.0,316.0,1.82,6.5
Macaroni or pasta salad with crab meat,meat,meat,2708943,N/A,6.48,201.0,9.9,20.94,1.2,0,5.0,2.0,0.0,0.52,21.0,0.94,18.0,81.0,0.92,31.02
"Manicotti, cheese-filled, with meat sauce",meat,meat,2708777,N/A,8.83,160.0,7.28,15.11,0.8,0,73.0,1.8,0.3,0.55,139.0,1.41,18.0,200.0,1.17,18.12
Meat loaf made with chicken or turkey,meat,meat,2706547,N/A,18.77,172.0,7.27,8.08,0.6,0,32.0,3.5,0.3,0.85,70.0,1.51,25.0,246.0,2.11,9.16
Meat loaf made with venison/deer,meat,meat,2706525,N/A,19.02,166.0,6.73,6.31,0.4,0,18.0,0.5,0.3,1.18,51.0,2.7,22.0,310.0,3.48,8.73
"Meat loaf, Puerto Rican style",meat,meat,2706468,N/A,19.85,325.0,22.0,10.7,0.6,0,38.0,1.0,0.7,1.07,30.0,2.28,18.0,229.0,3.29,16.37
"Meatballs, NS as to type of meat, with sauce",meat,meat,2706467,N/A,18.02,186.0,12.02,0.15,0.0,0,19.0,0.0,0.2,1.86,22.0,1.79,15.0,212.0,4.19,10.32
"Pasta with cream sauce and meat, restaurant",meat,meat,2708861,N/A,5.67,213.0,14.1,15.41,0.9,0,50.0,0.1,0.2,0.25,30.0,0.84,12.0,60.0,0.87,37.57
"Potato, baked, peel eaten, with meat",meat,meat,2709528,N/A,4.74,160.0,8.28,17.09,1.7,0,68.0,7.5,0.1,0.11,76.0,0.87,25.0,445.0,0.66,33.76
"Potato, baked, peel not eaten, with meat",meat,meat,2709521,N/A,4.32,160.0,8.26,17.4,1.2,0,68.0,10.0,0.1,0.11,68.0,0.31,23.0,334.0,0.61,37.04
"Potato, scalloped, from fresh, with meat",meat,meat,2709451,N/A,7.44,173.0,10.36,12.88,0.7,0,106.0,6.0,0.5,0.21,182.0,0.31,21.0,250.0,1.09,23.25
"Potato, scalloped, ready-to-heat, with meat",meat,meat,2709455,N/A,7.1,183.0,11.58,12.74,0.7,0,120.0,5.5,0.5,0.21,174.0,0.33,20.0,239.0,1.03,25.77
"Ravioli, cheese-filled, with meat sauce",meat,meat,2708770,N/A,6.37,137.0,6.14,14.31,0.8,0,62.0,1.9,0.3,0.35,64.0,1.43,15.0,176.0,0.85,21.51
"Ravioli, meat-filled, with cream sauce",meat,meat,2708766,N/A,10.15,176.0,8.8,13.69,0.4,0,69.0,0.1,0.6,0.82,60.0,1.63,14.0,155.0,1.81,17.34
Spaghetti sauce with meat and added vegetables,meat,meat,2706471,N/A,6.03,86.0,4.13,6.05,1.4,0,28.0,9.8,0.0,0.51,23.0,1.02,18.0,314.0,1.36,14.26
"Tortellini, meat-filled, with tomato sauce",meat,meat,2708785,N/A,6.62,134.0,4.92,15.83,1.0,0,37.0,1.5,0.2,0.24,38.0,1.19,19.0,124.0,0.79,20.24
"Turkey, light meat, skin eaten",meat,meat,2706106,N/A,28.28,169.0,5.55,0.03,0.0,0,10.0,0.0,0.4,0.9,12.0,0.73,31.0,247.0,1.66,5.98
"Turkey, light meat, skin not eaten",meat,meat,2706105,N/A,28.81,139.0,2.06,0.0,0.0,0,3.0,0.0,0.3,0.82,11.0,0.65,31.0,247.0,1.63,4.82
"Spaghetti with meat sauce, diet frozen meal",meat,meat,2709142,N/A,5.58,113.0,3.39,15.06,1.5,0,40.0,6.7,0.0,0.28,23.0,0.93,16.0,179.0,0.93,20.25
"Egg white, omelet, scrambled, or fried, with meat",meat,meat,2707291,N/A,11.32,119.0,7.21,2.14,0.0,0,24.0,0.0,0.2,0.16,8.0,0.21,12.0,179.0,0.31,10.51
"Yat Ga Mein with meat, fish, or poultry",meat,meat,2708931,N/A,10.36,134.0,5.57,11.16,1.5,0,9.0,4.3,0.1,0.3,19.0,1.49,14.0,198.0,1.05,12.93
"Egg substitute, omelet, scrambled, or fried, with meat",meat,meat,2707301,N/A,10.75,115.0,7.21,1.84,0.0,0,33.0,0.3,1.5,0.32,62.0,1.76,15.0,220.0,1.09,10.7
"Tortellini, meat-filled, with tomato sauce, canned",meat,meat,2708786,N/A,3.24,89.0,1.63,15.82,1.4,0,27.0,7.8,0.1,0.08,14.0,0.93,17.0,175.0,0.51,27.47
"Egg sandwich on white bread, with meat and cheese",meat,meat,2707310,N/A,13.08,278.0,17.16,17.74,0.8,0,98.0,0.0,1.5,0.62,194.0,1.92,19.0,168.0,1.53,21.25
"Meat loaf made with beef, veal and pork",meat,meat,2706582,N/A,17.27,196.0,10.5,7.18,0.4,0,22.0,0.7,0.5,1.38,63.0,1.86,19.0,269.0,3.5,11.35
"Pizza, with meat, gluten-free thick crust",meat,meat,2708696,N/A,9.48,280.0,15.23,26.09,2.5,0,41.0,0.2,0.2,0.33,200.0,1.73,16.0,140.0,1.29,29.54
"Pretzels, soft, from frozen, topped with meat",meat,meat,2708282,N/A,11.48,349.0,9.93,53.36,1.3,0,24.0,0.0,0.2,0.34,96.0,3.12,21.0,121.0,1.46,30.4
"Meat loaf with potatoes, vegetable, frozen meal",meat,meat,2707122,N/A,6.66,134.0,7.4,10.13,1.2,0,32.0,3.5,0.0,0.57,46.0,1.05,16.0,221.0,1.41,20.12
